ward_id,date,disease,case_count,rainfall,temperature,humidity,chlorine_level,bacteria_count,ph,cases_ma7,cases_ma14,growth_rate,rain_lag3,rain_lag7,temp_lag3,bacteria_ma3,outbreak_label,anomaly_score,is_anomaly,risk_score
1,2023-01-01,Dengue,0.0,0.17,30.5,37.5,0.7,2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2684075527970108,0,1.1909454
1,2023-01-02,Dengue,0.0,0.0,31.7,37.1,0.24,1,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2705796194441309,0,1.7546723
1,2023-01-03,Dengue,0.0,0.0,30.7,31.3,0.73,6,7.65,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0806777511094117,0,0.23338334
1,2023-01-04,Dengue,0.0,0.13,28.6,55.9,0.42,5,7.47,0.0,0.0,0.0,0.17,0.0,30.5,4.0,0,0.1521268813806373,0,0.39455682
1,2023-01-05,Dengue,2.0,0.0,27.1,32.9,0.23,2,7.74,0.0,0.0,0.0,0.0,0.0,31.7,4.333333333333333,1,0.081571748163326,0,8.328562
1,2023-01-06,Dengue,0.0,0.0,29.4,34.3,0.66,2,8.08,0.0,0.0,-1.0,0.0,0.0,30.7,3.0,0,0.014670787889636,0,0.606508
1,2023-01-07,Dengue,0.0,0.0,33.1,34.3,0.73,2,7.21,0.2857142857142857,0.0,0.0,0.13,0.0,28.6,2.0,0,0.2759754281571513,0,16.722534
1,2023-01-08,Dengue,0.0,0.54,25.2,59.7,0.56,4,7.88,0.2857142857142857,0.0,0.0,0.0,0.17,27.1,2.6666666666666665,0,0.1918392052435521,0,21.629564
1,2023-01-09,Dengue,0.0,0.0,27.0,54.9,0.4,2,7.16,0.2857142857142857,0.0,0.0,0.0,0.0,29.4,2.6666666666666665,0,0.2759754281571513,0,17.542162
1,2023-01-10,Dengue,0.0,0.0,33.3,47.3,0.65,2,7.91,0.2857142857142857,0.0,0.0,0.0,0.0,33.1,2.6666666666666665,0,0.2759754281571513,0,18.69599
1,2023-01-11,Dengue,0.0,0.0,30.9,58.6,0.52,4,7.38,0.2857142857142857,0.0,0.0,0.54,0.13,25.2,2.6666666666666665,0,0.2205607262700765,0,20.513592
1,2023-01-12,Dengue,0.0,0.0,26.3,54.1,0.44,3,7.95,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0,0.2566667289750896,0,0.018629111
1,2023-01-13,Dengue,3.0,0.06,30.4,52.4,0.55,2,7.37,0.4285714285714285,0.0,0.0,0.0,0.0,33.3,3.0,1,0.0219766323269721,0,26.157799
